Date,Source,Headline,Short Description,URL
21-07-2025,LAist,"Homelessness in LA region dropped for the second time in two years, according to annual count","Los Angeles County’s unhoused population declined slightly for the second year in a row, according to authorities responsible for the region’s annual point-in-time homeless count.",https://laist.com/news/housing-homelessness/homelessness-la-region-annual-count-2025
21-07-2025,LAist,Results of LA region’s annual homeless count to be released today,Topline:,https://laist.com/news/housing-homelessness/results-of-la-regions-annual-homeless-count-to-be-released
21-07-2025,LAist,"California, epicenter of the nation’s housing crisis, is finally getting a housing agency","After years of soaring rents, increasingly out-of-reach home prices and an enduring homelessness crisis that touches every corner of the state, California is finally creating a state agency exclusively focused on housing issues.",https://laist.com/news/housing-homelessness/california-epicenter-of-nations-housing-crisis-is-finally-getting-a-housing-agency
21-07-2025,LAist,Review commissioned by LA homeless agency clears CEO of conflict related to contracts with husband’s employer,"The leader of the Los Angeles Homeless Services Authority has been cleared of misconduct related to her signature appearing on a $2.1 million contract with her husband’s employer, according to the agency, otherwise known as LAHSA.",https://laist.com/news/housing-homelessness/investigation-clears-la-top-homelessness-official-of-conflict-of-interest-related-to-contracts-with-husbands-employer
21-07-2025,LAist,Medical examiner finds ‘animal activity’ happened after deaths at LA homeless camp,Topline:,https://laist.com/news/housing-homelessness/medical-examiner-la-homeless-camp-overdose
21-07-2025,LAist,"Fewer people on streets, in shelters after getting LA County homelessness prevention help","A Los Angeles County program that seeks out people at high risk of homelessness and tries to help them stay off the streets and out of shelters is showing early signs of success, according to a study published Thursday.",https://laist.com/news/housing-homelessness/los-angeles-county-homelessness-prevention-unit-california-policy-lab-study
21-07-2025,LAist,Can gift cards help unhoused Angelenos quit meth? LA County program shows progress,"For four years, Shane Hutchison lived in a tent in the middle of the desert outside Lancaster, miles from the nearest grocery store. The 53-year old started each day the same way — with methamphetamine.",https://laist.com/news/health/meth-stimulants-homeless-quit-recovery-incentives-rewards-los-angeles
21-07-2025,LAist,A plan to build 900 townhomes and establish a vast nature preserve in Irvine begins to take shape,Irvine is closing in on a key milestone in a project that will dramatically transform the community with an estimated 900 new townhomes and a sprawling 700-acre open space preserve.,https://laist.com/news/housing-homelessness/townhomes-and-nature-preserve-in-irvine
21-07-2025,LAist,Priced out of LA homeownership? City Council proposal could allow sale of cheaper ADUs,"Los Angeles City Council members introduced a batch of proposals this week aimed at speeding up the creation of more housing, including new options for achieving what for most Angelenos is an increasingly impossible dream: buying a home.",https://laist.com/news/housing-homelessness/los-angeles-city-council-motion-adu-purchase-raman
21-07-2025,LAist,California lawmakers side with landlords to kill renter eviction relief,Sen. Aisha Wahab implored her colleagues to think of hospitalized patients and struggling families as she pitched a proposal to give tenants a full two weeks to pay their past due rent before their landlords could start the eviction process.,https://laist.com/news/housing-homelessness/california-lawmakers-side-with-landlords-to-kill-renter-eviction-relief
21-07-2025,LAist,Leader of LA County's first homelessness department says 'accountability' is a priority,Officials have announced the new leader of the L.A. county's first-ever department on homelessness.,https://laist.com/news/housing-homelessness/la-county-names-leader-of-its-first-ever-department-on-homelessness
21-07-2025,LAist,LA County officials select leader of new homelessness department,Topline:,https://laist.com/news/housing-homelessness/la-county-officials-select-leader-of-new-homelessness-department
